station_id,name,river,lat,lon,elev
254190160,Pasłęk,Wąska (5456),54.068611,19.636111,14.0
254190190,Elbląg,Elbląg (54),54.161944,19.431389,39.0
254190230,Rogity,Pasłęka (56),54.389167,19.861389,8.0
254200040,BARTOSZYCE,Łyna (584),54.240278,20.797778,59.0
254200050,Bornity,Wałsza (568),54.184444,20.050833,47.0
254200070,KASZUNY,Drwęca Warmińska (566),54.158333,20.339722,89.0
254200080,LIDZBARK WARMIŃSKI,Łyna (584),54.135833,20.586111,90.0
254200140,Osieka,Łyna (584),54.208889,20.782500,74.0
254210020,WĘGORZEWO,Węgorapa (582),54.223889,21.734722,116.0
254220020,ŻABIN,Węgorapa (582),54.321389,22.038056,110.0
254220030,GOŁDAP,Gołdapa (5824),54.308333,22.268611,159.0
254220060,BANIE MAZURSKIE,Gołdapa (5824),54.251667,22.023056,110.0
254220090,OLECKO,Jez. Olecko Wielkie (2626139),54.047500,22.486944,182.0
254220120,Przerośl,Błędzianka (5828),54.258056,22.659722,215.0
254230040,Podwojponie,Szeszupa (68),54.300278,23.119444,207.0
349190600,Bielsko-Biała,Biała (2114),49.806667,19.002222,396.0
349190625,Zakopane,Biały Dunajec (21412),49.293889,19.960278,852.0
349190650,KASPROWY WIERCH,Biały Dunajec (21412),49.232500,19.981944,1990.0
349200628,Hala Gąsienicowa,Poroniec (214128),49.243889,20.005833,1523.0
349200660,NOWY SĄCZ,Dunajec (214),49.627222,20.688611,292.0
349210670,KROSNO,Wisłok (226),49.706667,21.769167,330.0
349220690,LESKO,San (22),49.466389,22.341667,420.0
349220695,PRZEMYŚL,San (22),49.804167,22.771944,279.0
350150500,Jelenia Góra,Bóbr (16),50.900278,15.788889,342.0
350150510,Śnieżka,Łomniczka (16184),50.736389,15.739722,1603.0
350160520,Kłodzko,Nysa Kłodzka (12),50.436944,16.614167,356.0
350170530,Opole,Odra (1),50.626944,17.968889,163.0
350180540,Racibórz,Odra (1),50.061111,18.190833,206.0
350190550,Częstochowa,Warta (18),50.811944,19.091667,293.0
350190560,KATOWICE-MUCHOWIEC,Brynica (2126),50.240556,19.032778,278.0
350190566,Kraków-Balice,Rudawa (2136),50.077778,19.795000,236.0
350200570,KIELCE-SUKÓW,Lubrzanka (21644),50.810556,20.692222,260.0
350200575,TARNÓW,Biała (2148),50.025556,20.941944,210.0
350210585,SANDOMIERZ,Wisła (2),50.696667,21.715833,217.0
350220580,RZESZÓW-JASIONKA,Wisłok (226),50.110833,22.042222,206.0
350230595,Zamość,Łabuńka (242),50.698333,23.205556,223.0
351150400,Zielona Góra,Odra (1),51.930000,15.524722,192.0
351160415,Legnica,Kaczawa (138),51.192500,16.207778,123.0
351160418,Leszno,Strzyżewicki Rów (14884),51.835556,16.534722,91.0
351160424,Wrocław-Strachowice,Odra (1),51.103333,16.900000,120.0
351160425,WROCŁAW,Odra (1),51.113611,16.881667,120.0
351180435,Kalisz,Prosna (184),51.781111,18.080833,137.0
351180455,Wieluń,Warta (18),51.210278,18.556667,199.0
351190465,Łódź-Lublinek,Ner (1832),51.718333,19.387222,174.0
351190469,Sulejów,Pilica (254),51.353333,19.866389,188.0
351210488,Kozienice,Wisła (2),51.564722,21.543611,123.0
351220495,LUBLIN-RADAWIEC,Bystrzyca (246),51.216667,22.393056,238.0
351230497,Włodawa,Bug (266),51.553333,23.529444,177.0
352140310,Słubice,Odra (1),52.348611,14.619722,53.0
352150300,Gorzów Wlkp.,Warta (18),52.741111,15.277222,71.0
352160330,Poznań-Ławica,Warta (18),52.416667,16.834722,88.0
352180345,Koło-Radoszewice,Noteć (188),52.361944,18.706111,109.0
352190360,PŁOCK,Wisła (2),52.588333,19.725833,106.0
352200375,Warszawa,Wisła (2),52.162778,20.961111,106.0
352220385,SIEDLCE,Liwiec (2668),52.181111,22.244722,152.0
352230399,TERESPOL,Bug (266),52.078611,23.621944,133.0
353140200,Świnoujście,Bałtyk (0),53.923333,14.242222,4.0
353140205,Szczecin,Odra (1),53.395278,14.622778,1.0
353150210,Resko-Smólsko,Rega (42),53.763611,15.393333,52.0
353160213,Barwice,Parsęta (44),53.753056,16.353889,133.0
353160215,Szczecinek,Gwda (1886),53.717778,16.746667,139.0
353160230,Piła,Gwda (1886),53.130556,16.747222,72.0
353170235,Chojnice,Brda (292),53.715278,17.532500,164.0
353180250,Toruń,Wisła (2),53.041944,18.595556,69.0
353180255,Kwidzyn,Liwa (522),53.734167,18.871667,-9999.0
353200270,MŁAWA,Wkra (268),53.104167,20.361111,147.0
353200272,OLSZTYN,Łyna (584),53.768611,20.421389,133.0
353210280,MIKOŁAJKI,Jez. Mikołajskie (26439),53.789167,21.589722,127.0
353210285,OSTROŁĘKA,Narew (26),53.065833,21.533889,94.0
353230295,BIAŁYSTOK,Biała (26168),53.107222,23.162222,148.0
354150100,Kołobrzeg-Dźwirzyno,Jez. Resko Przymorskie (43219),54.158333,15.388889,4.0
354160105,Koszalin,Dzierżęcinka (45614),54.204444,16.155278,33.0
354160115,Ustka,Bałtyk (0),54.588333,16.854167,3.0
354170120,Łeba,Łeba (476),54.753611,17.534722,1.0
354170125,Lębork,Łeba (476),54.553056,17.756944,39.0
354180135,Hel,Bałtyk (0),54.603611,18.811944,1.0
354180155,Gdańsk-Świbno,Wisła (2),54.333611,18.934444,7.0
354190160,Elbląg-Milejewo,Elbląg (54),54.223333,19.543611,189.0
354210185,KĘTRZYN,Guber (5848),54.067222,21.366667,107.0
354220195,SUWAŁKI,Czarna Hańcza (64),54.130833,22.948889,184.0
